Feature,Y1_Importance,Y2_Importance,Avg_Importance
G,0.2701441373600859,0.026362227237951803,0.14825318229901885
A,0.008413721608648828,0.1937244174380728,0.10106906952336082
K,0.012159147265733014,0.17968545621374285,0.09592230173973793
M,0.1488797522913006,0.0134779231662739,0.08117883772878726
J,0.14537023073511876,0.013632102087625353,0.07950116641137206
D,0.008889141720438492,0.14914455930358908,0.07901685051201379
B,0.010057212244025912,0.14195185248730244,0.07600453236566418
H,0.12588149528883072,0.01812081811501178,0.07200115670192125
C,0.1114910583418801,0.012765136332905581,0.06212809733739284
E,0.09241444924112004,0.010316086367626712,0.05136526780437337
F,0.005370685328351942,0.08511577965213006,0.045243232490241
I,0.0050289338519984034,0.08229721297554651,0.04366307341377246
L,0.004974355622783776,0.06368367253909284,0.0343290140809383
N,0.05092567909968355,0.009722756083128451,0.030324217591406
